0|Localize pain
1|Localize touch and vibration
2|Localize temperature
3|Sense of fingers
4|Sense of body
5|Move hands
6|Move mouth and tongue
7|Swallowing
8|Anticipate pain
9|Anticipate tickling
10|Mirror neurons
11|Muscle sequences
12|Limbs
13|Softness and vibration
14|Move tongue and mouth
15|Actions, Touches
16|Voluntary breathing
17|Muscle imagery
18|Blinking
19|Eye movements
20|Bicycling
21|Chaotic patterns
22|Spatial reasoning
23|Tool-use gestures
24|Muscles
25|Coordinate hands
26|Saccades
27|Working memory
28|Tactile
29|Pain
30|Muscle location
31|Imitate novel actions
32|Action memory
33|Action planning
34|Action learning
35|Start moves
36|Imagined moves
37|Laughter, Smiling
38|Words
39|Language
40|Language switching
41|Understand speech
42|Lipreading
43|Human voices
44|Acoustic rhythms
45|Generate melodies
46|Mnemonics
47|Episodes
48|Topographic memory
49|Locations
50|Self-reflection
51|Update location
52|Eye guidance
53|Observe actions (mirror neurons)
54|Solve novelty
55|Orchestrate
56|Calculation
57|Speech muscles
58|Novel words
59|Phonemes
60|Object names
61|Deduction
62|Inhibit response
63|Sequential moves
64|Monitor errors
65|Strong odors
66|Same or different
67|Goals
68|Recall episodes
69|Tool use
70|Handwriting and spelling
71|Shift attention
72|Literalness
73|Imageability
74|Personal space
75|Estimate
76|Meta-emotions
77|Visuospatial attention
78|Mental rotation
79|Stereopsis
80|Line bisection judgements
81|Muscle learning
82|Muscle control
83|Executive control
84|Planning
85|Speech programs
86|Language processing
87|Language translation
88|Generating sentences
89|Perceptual priming
90|Visuospatial and visuomotor attention
91|Sequence learning
92|Proprioceptive stimulation
93|Pain anticipation
94|Processing uncertainty
95|Inductive reasoning
96|Auditory imagery
97|Memory retrieval
98|Nonconscious saccades
