0|Auto Generated
1|Primary Somatosensory Cortex
2|Primary somatosensory cortex - Postcentral gyrus
3|Primary motor cortex - Precentral gyrus
4|Secondary sensorimotor cortex
5|Premotor cortex
6|Superior parietal lobule
7|Supplementary motor area
9|Middle frontal gyrus
11|anterior prefrontal cortex
12|Gyrus rectus
13|Insular cortex
15|Primary Visual Cortex
16|Secondary visual cortex
17|Secondary visual cortex - Middle occipital gyrus
18|Secondary visual cortex - Inferior occipital gyrus
20|Inferior temporal, Fusiform and Parahippocampal gyri
21|Middle temporal gyrus
23|Superior Temporal Gyrus - Part of Wernicke's area
24|Action memory
25|Posterior cingulate gyrus
26|Anterior cingulate gyrus
27|Subgenual gyrus
29|Hippocampal areas - Part of medial temporal lobe
30|granular retrolimbic area
31|agranular retrolimbic area
32|Dorsal posterior cingulate area
33|Dorsal anterior cingulate area
34|Posterior inferior temporal gyrus, middle temporal gyrus, and fusiform gyrus
35|Temporal pole
36|Angular gyrus; Part of Wernicke's area
37|Inferior parietal lobule - Supramarginal gyrus
38|Primary auditory cortex - Heschl's gyrus
39|Secondary auditory cortex
40|Subcentral area
41|Inferior frontal gyrus - Pars opercularis
42|Inferior frontal gyrus - Pars triangularis
44|Medial frontal gyrus
45|Inferior frontal gyrus - Pars orbitalis
