   0|Localize pain 
   1|Localize touch and vibration 
   2|Localize temperature 
   3|Sense of fingers 
   4|Sense of body 
   5|Move hands 
   6|Move mouth and tongue
   7|Swallowing
   8|Anticipate pain
   9|Anticipate tickling
  10|Mirror neurons
  
  11|Short-term memory 
  12|Recency 
  13|Orchestrate behavior 
  14|Verbal fluency 
  15|Word-stem completion 
  16|Error detection 
  17|Human voices 
  18|Infer 
  19|Intentions 
  20|Action authorship 
  21|Energize 
  
  22|Reading 
  23|Spatial focusing 
  24|Theory of mind 
  25|Executive control 
  26|Action sequences 
  
  27|Word generation
  28|Unintelligible speech 
  29|Attend to speech 
  30|Syntactic working memory 
  31|Working memory         
  32|Episodic memory 
  33|Declarative memory 
  34|Mirror other's movements 
  35|Speech programs 
  36|Tactile imagery 
  37|Goals 
  38|Word and face encoding 
  39|Arithmetics 
  40|Object manipulation 
  41|Familiar odors 
  42|Music appreciation 
  
  43|Semantic & phonological processing  
  44|Verbal fluency 
  45|Lexical search 
  46|Phonemes 
  47|Grammar 
  48|Categories 
  49|Sign language 
  50|Reason 
  51|Metaphors 
  52|Digits 
  53|Mirror movement neurons 
  54|Response inhibition 
  55|Mental rotation 
  56|Aesthetic and music appreciation 
  57|Modulate emotions 

