0|Swallowing
1|Declarative memory
2|Verbal fluency
3|Localize touch and vibration
4|Declarative memory
5|Declarative memory
6|Working memory
7|Swallowing
8|Verbal fluency
9|Swallowing
10|Sense of body
11|Sense of body
12|Working memory
13|Mirror neurons
14|Anticipate tickling
15|Sense of fingers
16|Mirror neurons
17|Anticipate tickling
18|Sense of body
19|Phonemes
20|Localize pain
21|Syntactic working memory
22|Swallowing
23|Syntactic working memory
24|Anticipate pain
25|Phonemes
26|Anticipate pain
27|Grammar
